PageNo,Text
66,"['our visit may do them good. After returning', 'to Maysville we went down', 'the river to this', 'a', 'newa- also ableep. Thence to an association', 'love', 'to', 'down, at Beallmont. On our way', 'down', 'husband', 'l', 'my', 'was taken sick. He thought is was produced', 'e', '(', 'the boat- After louding he new worder his mind', 'l', 'because wan during The cholera was an the river', 'e', 'he was strangely affected. his brother was with us-', 'we Annew nothing of the physicious. My husband', '/', 'called me to him, and Malked long with me - he', '1.', '/', 'spake as though something dark lay before us-hardy', '/', 'knowing what now & then a dry sob would forst', '(L', 'from him. I thought he was dy ing in some dark', 'A', 'unknown way.', 'O those darka hours. I lead', 'c', 'never of anguish. so full', 'known that kind', 'of tenderself besides the grief, the lonelinep', 'of', 'widowhood among strangers. it was all before me.', 'me called a doctor_ he seemed to think there', 'was no dangeritent day he was much bethe', 'in fact he thought almost well I felt so much', 'relief. That day, while all were some to church', 'I sat m the bed beside him Ruddenly he can', 'plained of pain, and turned his back to me.', 'could not allow him to be out of sight and there']"
67,"['1851', 'was something his manner made me', 'about that', 'anxious. so I sprayg up, and hastened around', 'the bed. The was convulsed- his head thrown back his', 'eyes set, his face purple All the horrors of the fore', 'evening', 'eadings sayed me - l thoughts the worst nowreal', 'ised - -l thought him dead. I almost smith but', 'collecting myself hastened to throw comphor', 'in his face This caused instant relief he', 'sprany help in the bed as ana phrensy, gasping', 'for breath. He was soon calm Booker than', 'I.', 'He was several times threatened with a return', 'Lt', 'one', 'which kelpt s at all times uneasy I was afraid', 'to leave him a moment. All this was doubtlep good.', 'it was a preparation for the trials ahead.', '&', 'an his recovery we went up to Covintton, u', 'is', 'mained a few days, and on the 27th Aug. left for 7', 'paltimore. A few days on the river took msto', ':', 'o', 'Pitts burg, where we Look a nest Senten Jacket', 'Nett Am writing we came by stage to cumberland,', 'day.', 'where me remained all night. lenday, sept. 1-', 'me mached Ms. In the 324 we were delighted to', 'see Dr. clanly took up lodgings at no. Cramis.', 'me', 'were expecting to be off in a few days.', 'ship', 'after', 'ship', 'left', 'us-', 'dis', 'appointment', 'follow']"
68,"['ed hota continually This state of suspenseurs', 'trying ne visited Bap', 'the several chunches The', 'to', 'lists are plain, intelligent people, zealous 8', 'm', 'good works. The ladies of bs Fullios clush are', 'm', 'engaged in several enterpries. They support', 'it', 'a city mission any Their pragramuting 26,', 'on', 'were always strengthing us. P. interested', 'ch', 'the sisters of', 'lr. Adams ch. in The cause', 'll', 'that they formal a mis. society. They are/0000', 'do', 'but Dealous, devated I hope to correspond with then', 'In', 'The other chunches are not suite adactive The', 'ch', 'first has been form up by disend-thine is', 'I', 'not', 'sufficient warmth. l fear they have', 'not been well trained. Thus me passed', 'two anxirus months. set out', 'the', 'for N.A., where me arrived in the might.', 'w', 'Burton, who has been have sometime was', '*', 'A', 'to meet ms at the whan, but me came on a', 'to', 'different route -so he missed use Next day', 'in', 'are saw him - one were all so delighted- the', 'as', 'Dr. seemed almost erasy I must he to him', 'N', 'a sister I know he must he so lonely. The', 'A', 'other the is mum amid', 'a', 'It']"
69,"['1851', 'For some months past I have been crushed', 'to', 'the', 'earth.', 'Qurely', 'there is no sorrow likernto', 'my somow. I have found out, though, of l were', 'not selfish, it would not he so. I have long', 'made', 'is a me subjict of earnest prayer that Sad would', 'make Insubbe and more devated that the would', 'choose this our way, however litter to me. They will', '6 Sad he done. firely doth they hand Irrip me, yet', 'doubthes for my own good. 1 let not my therailing', 'bring forth only wind. sanetify These sorrows.', 'My husband is all noble How much I owe him', 'If', 'l am a good wife it is through his means.', 'Only Dr. Buston will accompany us. shelps', '& whilden are not m arried. Mrs. Cabaring situ a', '&', 'Tion will keep him until next spring IA is even', 'is,', '1,', 'whispered that they m may never he able to so,', '7""', 'u', 'she had no indepen dent wish to engage in the', '.', 'work. I Know its is commonly thought that a woman', 'need have such convictions', 'no of duty:-if she be an', '-', 'abedient, affectionate wife, that is sufficient. Andro', ""it would be, if a woman's conscien ee be lost"", 'in', 'that of her husband - if he be her god- if sheare', 'no higher duties to God. such convirctions forced', 'themselves upon me, much against my own will;']"
70,"['and I therefore conclude that Pad sometimes', 's', ""gives direction to a woman's mind, independent"", 'to', 'O', 'of her husband. My husband desired such a wife-', 'Pod grant the may never regret it.', 'e', 'me hope to sail in a week or two I a are', 'le', 'of', 'not yet seem our slips. The captis wife goes ant-', 'me', ""so I'll have one female companion."", 'th', 'Nov.6th Our relation to Dr. Burton increases our responsi', 'Co', 'bilities. Much of his happinefs depends upon us. Itshall', 'hu', 'be our object not only to render him happy, but', 'is', 'derive good from the intercourse. Sad. grant we', 'me', 'may all be benefitted. I feel like a house all', 'torn up for repairs no p art is in proper order,', 'M', 'all is wild confusion. whether it will ever', 'be better', 'w', 'I Know not it may grow worse. I can he of little', 'fe', 'service to the mission if I remain thus - not only', 'The', 'that I fear I shall more a hindrance to my', 'is', 'husband.', 'en', 'Nov.7th We three, as a family have commend', 'our social worship Read a chapter together then', 'u', 'pray. It was my turn to-might - it was a cross, but', 'A', 'l did not shrink from it, and ful none the work.', 'l', 'After prayer, me discuss the chapter are have, make', 'd', 'any suggestion, or injuring - point to the parts which']"
71,"['1851', 'strike us most forcibly belie this man and hope', 'to have pleasing edifying converse. smile on us,', 'co our Father!', 'Nov.gth what effect has frequent physical suffering', 'upon the mind? of sanetified bodily affictions drawns', 'nearer to God. What after all, is true greatness in', 'the sight of rules the universe?', 'Him who Does it', 'consist in high intellectual attainments ""He', 'that', 'humbleth himself as a little child the same is great', '-', 'eat in the Kingdom of heaven."" o for more of this great', 'w', 'meg.', 'Res. Mr. Rook a congregational minister came out on a', ':', 'T,', 'uncrowfford at supper on the subject of slavery His speech', 'was very abrupt about ""the heather"" of the south, and I', '&', 'feased a wann discussion, Fortunately brother Burtonin', 'is,', 'Tuposed and it was dropped. Our boarding house', '1', 'is certainly not a very desirable place, though our ae', ':', 'commodation is good enough.', '-', 'when shall I cease to moun- when shall the', '-', 'which when shall have', 'I faith ""as a grain of must', 'thand seed? Ah! I don\'t pray enough. ""O writch that', 'l am who shall deliver me from this body of', 'death! Patience my soul Thy Father knowette', 'what is best.']"
72,"['Nov. 9th me think of making is a prime object', 'S', 'on our voyage to labor for the salvation of all on the', 'in', 'ship. We will talk over it, may over it and trust', 'Ha', 'in Him who hears prayer. nhat a noble object!', 'wh', 'Ours is a delightful little circle - only three of us- all', 'ha', 'of one mind all having the same end in view.', 'the', 'O Sad let no evil intrude to disturb our peace', 'A', 'may all me do, promote they slory and our good.', 'the', 'Heard a Bernson, at Dr. Conis church, from a', '&', 'scotch missionary', 'to st. Helena. us. Bertram some', 'Ca', 'interesting facts in relation to it. The island contain', 'it', '7.500 inhabitants. 1.000 black 1500 white 5000 m this', 'er', '(mixture Portugese, negroesuc.) He is collecting fundish', 'do', 'a chapel. He took lus. In dson ashore and buried her', 'l3', 'in 1845.', 'M', 'Nov. 10th Our ship may sail on Friday- and this', 'of', 'is Mon londay night we have been all day busied with', 'is', 'preparations for our voyage This evening avent', 'M', 'to hear a lecture from Dr. Kraitsin, a Hunga.', 'la', 'rian, on the Analogy of language. hoping', 'qr', 'to gain something which might be of ser-', 'CA', 'vice in China He was, however on the Eure', 'u', 'pean languages -. and we gained but little:', 'to', 'through he displayed deep skill in the science.']"
73,"['1851', '800.11 The time we', 'draws mean. find difficulty', '- in determining what preparation is necessary', 'Have been quite musy all day a nd ful some', 'what fatigued. My husband is still more', 'haraped having many more letters to write', 'than I have.', 'Nov.12 Brother Taylor or arrived this evening to su', 'that we are well fitted for the voyage. we begin', 'to feel as if almost gone. How many solemina', 'considerations prefs upon my mind! Then this', 'body of death"" this ""thorm in the flesh."" which', 'crushis me the the earth. Hope to set off daten', 'day.', '13th Took tha at l.J.Smitts with Mr. Bentram- Dr. Lilly', '2', 'ham Steward, of Smith, & Taylar Also, ths. smith sister', 'is,', 'of unscrutis of Marion Ala Had quite a pleasant', 'evening hope not altogether unprofitable. me sail', 'Monday 17th', '14. ment down to see the ship - did not find it', '-', 'quite', 'so horrible as I thought. I think we will be', 'comfortable. The Capt. seems very pleasant We are almost', 'N°', 'ready-', 'hardly find time to reflect on this import', 'Rant this very solemn event of my life.']"
74,"['On the 17th Noonellonday, - we went downearly', 'to the ship- completed our arrangements by eleo-', 'a', 'em. Br. Taylor prayed with us- commendedus', '/', 'to the Pad of the and', 'winds wae and bade', '~', 'us adicu. About Gue oiclock a steambool was', '/', 'attached to each side of the Horotis, an d me fort', 's', 'off. we were toward fiftern miles to Dan dy Nort,', 'k', 'when the boats retured to S.G. so are were out', 'of', 'upon the ocean. About five I took my last view', 'f', 'of the land of my birth-the scene of my', 'child-', '/', ""hood's hopes, joy thears. - the hope of the dear"", '0', 'ones', 'I have left forever Before dark we beg an to', 'N', 'grow sick Mrs. crocker went to bed- ur. C.K.I to', '0', 'vomiting Mr. Burton was slightly offer eted. The', 'n', 'next m arming we all got up except Mrs. Crockes,', 'l', 'but were sick all day. The captain himself', 'was quite sea- sick for twenty four housing', '1', 'B. was Enite well Tuesday- and has since remain', 'I', 'Rd so with slight exception. Wednesday me were', 'still better and up- except ins. Crooker I had', 'strong hopes that my time was about over.', 'In this however l was sadly disappointed-', 'about E.Long- - S.Lat. :- a stiff brase', 'sprany up, the increased rolling of the ussel']"
75,"['1857', 'again send us to vomiting 4 to bed. Wednesday', 'might l suffered much had one vouniting', 'spell in which I examped & almost went', 'into a spasm. The captain & tro. Y3, were all', 'kindnefs & attention to us. Husband & l were', 'not able to assist each other, but did not', 'lack for thind nursing. Fresh apples & oranges,', 'of lemmade we found mast grateful- other', 'food l did not relish. Thursday the wind', 'increased continually the Timiers created', 'who were sick new ained', 'and the ship rolled terribly, The there of us', ':', 'all but myself kept something - l felt some', 'in bed all all day d', 'mausea, but suffere d m are from inactive', '&', 'bowels. The wind grew finen towards might', 'is,', 'the ship rolled more & more. I attempted once', 'to', 'set up- but in trying to malk fell acrops', 'in', 'the norm, stimand my elbow & badly bruised', 'my head and chin. Dr. Ms. sat up all might', 'which made him', 'unwill on friday By', 'this Rime are were in a regular storms', 'The ship threatened to capsise every roll.', 'the waves swept her quarter dear - those top', 'l of her main amast had to he sown off the save']"
76,"['it- and we drifted with reled sails all Frim', 'bay night. How furchy the winds howled Two', '(', 'the rigging - how the ship reeled, and reared_', '/', '/', 'and pitched and quinesed. Although the Capt.', 'l', 'assured us could not capsise, yet I enall', 'she', '1', 'hardly persuade myself sometimes that she', 'had not really gone over.', 'Articles that had not', 'been secured, Dr were broken loose rolled abor', 'in wild confusion broken lamps, bottlest', 'glaper, with boxus, bags - clottons dc. All our', 'time in as taken up in kelping ourselnes', 'in bed. A spare in the depths of the', 'ocean presented itself. I know not at what', 'moment I might be called to must my', 'judge - it was a serious', 'matter. Clusmins', 'however, were calm in the prospect me', 'knew in whom me had trusted- we Knew', 'the Sad of the winds waves-The', 'of Lead Iod', 'eminipatent was our Father that the', 'cared for us. If would us home', 'the take', 'me would go willingly me prayed ear', 'nestly for the souls of the for sailers.', 'Studiet morning the wind aboted- but', 'we rolled dreadfully all day - all saturday']"
77,"['1857', 'might Sunday was a bright beautiful day-', 'and me sat up aspart of the day. l was But', 'firing much from inactive bowels- a week', 'had pafeed without an eva enation which he an', 'the the on my spirits as well as body.', 'l', 'was feverish without energy in a state', 'of complete me', 'lassitude. l had taken divine', 'without effect which made me worse.', 'Monday the sea was was no', 'smother l', 'better Medicine of aim repeated was attendion', 'with better results that might the other', 'L', 'extreme had to he checked. Jues day me', 'all seemed better. soon another gale threw', 'us back tho me were not so bad.', 'The water I first draik ere board, tasted is', 'of p ainlite. HP. it was', 'a horrible l drank', 'nothing but lemonade for days the coffee', 'of tea were as bad as the water. One d day', 'tro Button brong Wh me a slap of dilicious', 'which had been filtered- Ohno refreshing-t', 'could bands get enough. We have been sailing', 'towards the D.L. Our storm was N the', 'Bermida coast, in the Sulf Theam.', 'me still meet with the sea nowd,']"
78,"['For all these blessings l hope we are', 'thankful ne have f amily worship every', 'a', 'might & will have preacing on Pabrath', 'to', 'burapter The Caph is a pins man, a', 'Congreg ationalist. his wife a ys applist.', 'us. C.K.I have not yet communi ud our', 'studies as me hope to do- still this mest', 'we have been a he to do something Chur', 'Lot. is now about 26-0 the weather getting warm.', 'Dec. 32d About moon a messel was sbfa- - soon', 'n', 'found to be a British barque we a at down of', 'wrote some letters. On hailing the captain un-', 'desstood she was bound for Charliston D.C, He sert', 'a boat with some apples, potatoes, turnepsy:-k', 'barned she was from Callio, Resu- 160 days-bound', 'for Cortuslondon. Our letters were already abound.', 'she wanted bread- - hus was damaged-she', 'bad been becalure L to Pape. sent her four or', 'five hundred pounds of bread. Dr. ys. went the', 'last time. us capt. promised to forward one', 'letters. As. says it was the dirtiest place he', 'ever saw- the sraps had growth thick upon hu', 'bottom.', 'a']"
79,"['37', 'Sea 6th Rough sea sent us to bedagain are', 'are eh Been', 'now mu bether. tho days in the', 'Tropies.', 'Dea7th Husband still unable to preach Be a', 'rather rough. At moon Lat. 12 1/20 N. 25°W.Loug.', 'Weather scowing warmer. I dread the heat', 'before', 'us. - craping torrid', 'many flying fish for meral days.', 'From a large wave a dosen or more', 'will sometimes Horing off and fly fifty', 'or \\ a hundred y yds. occasion ally dipping', 'me a wan to west their wings asonly as', 'then they can surver House They are six or', 'right inches long-avings coming out near', '&', 'the head- this flesh Emite polatable Readed is,', 'have flown upon deckt Splen Can did seeme', 'my wonght such as no Join describe.', ':', 'They works 0 Bod of the Ocean.', 'sec. 18th I have beend quite sick-princip. ally from', 'emactive bowels. crofied the Ennator sat. night -', 'are now in siLot 16% we have been able to', 'study but very little be an will continue Ro.', 'Have written no letters-fell ina disuate', 'mentally and physically.']"
80,"['See. 21 oud Croped the Douthern tropic yesterday-', 'thermometer at 74 It is delighfully coal to-day.', '/', 'so rough we had no services yesterday.', 'b', 'I think my health is improving-though', 'A', 'I still ful unable to lay hold on any regul as', 'n', 'work. Even writing is a task. Occasional', 's', 'miscellamous reading is all l do.', 'I', 'beets. saw the breath of whales at a distance', 'resembles smoke from a gun, we could see ms', 'part of their bodies on account of the great dis-', 'Lance from us How many meny hearts', 'at home today!', 'belide. Saw some porpoises - gaily spating', 'with the ship. me harpooded our but could', 'not se Chrid it', '1852', '( heantinue multiforn writing', 'C', 'Feb.7th Rince morning. have been in sight', 'of Bouro S.Lat.40 ELong 1251. At moon can', 'distinctly see the general outline. It appe us', 'to be very high. on the Castern side of the', 'island is a strait, and a sutch settlement.', 'slips most frequently go through the straits,', 'because breases are seldom favorable for']"
81,"['1852', 'going to the mestinas d. The wind bl and', ""southward thrs' the strails, so it is difficult"", 'beating Hong Fortunately our wind allowed us', 'to go to the mestinend, and the migh are may', 'not have', 'so mean a view of land, we will', 'save time. since yester moon have had fre-', 'equent squalls with rain- unsteady weather.', 'still quite warm. Ceses still in sight', 'sometimes ahead, sometimes behind.', 'Feb. still in sight of Bouro. ""frequent searcells', '8th', 'of wind and rain, have in eved us a little;', 'otterwise we might have remained stationist', 'tinally Had mo service to-day on accest', '20 the weather, This is quite a deprination.', '&', 'Between the heat, my brids ve. is displanged', 'is,', 'Mrs. Crocker has diarrhea from the heat.', 'Feb', '9th s.Lat20 E. Long. 12% Left Bouro. This more', ':', 'ing before I was dreped, he and a sound', 'resembling that of a flock of bla ds in', 'the distance. The capt. called I the went Dr. up to', 'see the ""tide riffle"". After drefeing on deck,and', 'saw', 'x', 'a line exter ding each way as far as cend', 'see of white capeped, tumbling foaming', 'billers- and such a whistling roaring moise']"
82,"['they made! the steadily firmly as a will thained', 'army A water approached us - and', '1', 'when it reached us it lashed our sides', 'A', 'and about us to pitching and rolling so', '0', 'as almost to make me Dea- sick.', 'I', 'After breakfast ( several of these ""tide', 'a', 'rifflis"" having lashed us) the Ceses approached', 'C', 'these st us- and our Captains showed a dis-', '1', 'position to be sociable. Capt. P. thought', '0', 'lowering the boat, but just at that time', 'l', 'a because sprang up, and for awhile drove', 'l', 'us apart. However, the Ceses being lighter', '0', 'was driven faster by a light breese, and', 'a', 'som pame near. After awhile Papt.P.', '1', 'spoke and the There vessels camewith', 's', 'in thirty yds. I suppose, so they cenld', '(', 'commune without their Trumpels. is looked', '1', 'much nearer. How strangely it madems', '(', 'feel to see another face, and hear', '(', 'another voice!Her Captain is named', '/', 'Dilver About sun down a school of', 'p orposis approached the ship with Their', 'blowing noise, and began to play about', 'the prow. The mate attempted to harpon']"
83,"['1852', 'one, but failed. it is said that when one', 'is wounded and not taken, his companions', 'smelling blood, and setting a taste, pursue', 'and eat him. We have Ceram to our', 'sight and (bby Major oby minor ahead -all', 'dim in the distance. something black was', 'deserved on the water, which the matetak', 'to he a boat, and the man are the lookout,', 'a buoy(amidsh these savage isles!] It Cooked', 'like a little black stump, but with the slags', 'like a elump of logs. The captain paid iteaus', 'L-', 'a meeting house."" This, of course, raised', 'us on tip-toe - so me began to pump', 'him - well, captain, wh atis. it in fa At?', 'to thell us:- it is really a meeting house', ""or something so near akin the it, I don't"", 'know what else to call it."" He says that', 'm any of these islanders, as am a , et of war', 'ship, stand lags or trues upright, and mat', 'the', 'them together at bottom to secure then', 'their tapes turn a little outward. They are', 'fastened together in a circular form, about', 'the gt. in diameter - and being sever al trues', 'in Mickneys, leave a small hole in the middle']"
84,"['The loss are put also ten ft long-Cut. - one', 'high are is placed in the middle, reaching', 'some distance above the thus. it is supposed', '/', 'these', 'islandus thus waship the ocean', '/', 's', 'it being the most magnife eart object', '&', 'around them. After building them they set', 'I', 'them afl oat. - - Bro. Burton is quite', '/', 'sick to-might -headache & diarrhaa.', 'M', 'Feriloth bescried something this morning', 'd', 'which was at first thought to he a sail,', '0', 'but which Jrowed to be a ""meeting house.""', 'of', 'neta came near enough of or us to see,', 'l', 'with the glap, the body of it, with Two', 'a', 'Thus standing in it, nothing to fro, &', 'l', 'coursed. with his ds. paped (aby Major, &', 'a', 'Rulo Passes-have L own, the Button, Po Pr', 's', 'sang and Kekik ahead. While at sup-', '7', 'per unikisty came to the head of the com ,', '/', 'panimon-musty and informed the Capt /', 'that Ceres had hoisted her ensign, in', '0', ""token of 'Good bye Capt. ment up and am"", 'I', 'swened hu, she passes around Pulo Sas', 'l', 'ses, and then northword Through the straits', 'of', 'of Silolo, while me so eastware of through']"
85,"['1852', 'sampier sts N.West coast of New Prima.', 'Cept. thinks me m may enter the straithly', 'morning if our brase entirues, At the', 'month is a shoal which will present ern', 'entrance if me reach there before day! unlep', 'the night clean, and the mom shine,', '11th caught a borby this morning, and his rings', 'were were so long he could not rise from the', 'deck. His body seems no larger than that ga', 'duck but his rings measure more than four', 'get between the lips. His color is a slassy brown-', 'he has a long, sharp, I pointed beak- fine eyes-', 'and met fut. After satisfying trunselves we loosed', 'him lu Right of the Tatus this morning', 'an', 'our', 'left-', 'then', 'Fishus etc. intend Dampics', ""straits about two o'elock. ys atlanta a our night,"", 'King Milliaming of way sic to the left- Rigcon', 'Augusta Ke. ahead. Daw there boats put off for', 'Barbanta for us, but as me had a fair wind They', 'despended and turned ashore. The captain ex', 'pected to anchor at pigeon about dark, as he', 'did not like to pap the shools off Point Pigon', 'in the might so me hopid they would su us', 'there and come- as it was only the smiles.']"
86,"['About the time me reached pigion a boat', 'approached us from King Williams, But it', 'was su near dark we could not all Thema', 'I', 'times', 'so', 'will', 'as', 'me would like There were', 'T', 'two in the boat, app accently a ma x', 'n', 'woman, and if they had any covering we', 'could not are it. For semi ealico & a little', 'looking slaps we sast two fish Two shells', 'and two punkins. when they wanted to', 'Trade they caid out ""bargoase.""', '7.06.12th Bealmed this morning about', 'e', 'thirty miles from Bije an sew Primar', 'f', 'of ys atlanta an am right - Maygis left start', 'o', 'mine two boats a appro a end us- each', 'boat', 'r', 'having two men. As they came alang', 'f', 'side one held up some of his goods and', 'cried ""bargoase"" He received an answer a', '@', '""bargoase""- had a rope thrown him which', 'he tied to his know, and went astern,', '(', 'Their only covering was what could be of', 'I', 'forded by a yard of clothintory were blackt', '/', 'woolly -headed-', 'with their Tueth died black.', '/', 'Their boats were made from the trunks', '0', 'of trus-trices hear & duy nut- with sharp']"
87,"['1852', 'extremities. Over these, which were about', 'founteen att. long. was a frame made of a', 'few bamboo rods, A prevent, al suppose,', 'Their eaprising an are side was a said', 'Smade of palm leaves, rolled up. They had shalls,', 'green lemons, hats, baskets, matske. all m ade', 'of', 'leaves', 'dye', 'd', 'black, red 4 yellow. A large backber', 'served for a griver, another for holding natrike', 'me gave Their ealies, kniver goodd clothes deffer', 'Their', 'of', 'articles. an dreped himself up, and', 'cut all serts of capeus for our ammsement', 'p oor healthurs ! they have never he and of the', 'dying love of Pesus.Men shall the whole', 'world low in humble adoration at his', 'feet.', 'Feb. 21 at On the 13th found ourselves in the Pa', 'cific with a strong head sea made us seasiet', 'Bough several damp-monday 16th storm began', 'continued some days. there fine than any', 'preceding. I could not stay an dick - hatelus', 'were closed and the eabin', 'intensely hot.', 'stip polled and pitched area dreadfully. ""Lay to"" from', 'Tuesday more to Mednus day morning', 'The', 'mind not much better still the eafter, slots.']"
88,"['il', 'F', 'Thursday morning passed an English slyp', 'still lying to; having lost her jib form in the', 'al', 'storm. The wind was dead aluad. most of the', 'we', 'time, and we travesed The beam back', 'l', 'and forth has dly making am mile in 20.', '35', 'Forday 20th light, baffling winds still abuad. In', 'I', 'the night, after many squallare we got a', 'J', 'regular strong monson mileone enough.', 'w', 'slinps pitches badly to-day- half sick all day.', 'be', 'Meather growing cooler for which I am thank', 't', 'ful. the hope to reach Heny Kay mitwork.', 'to', 'Tel. 22. Sale- rough sea How The ship pitches!', 'a', 'ln hed all day from sea sicknge.', 'I', 'Feb. 23rd Bad time last mightine oh better to-day. Been', 'b', 'able to write some this afterious. being meanpat', 'of', 'are overhauled our clothes this morning. T lose in', 'd', 'the bag look badly enough, but the Capt. says They', '""', 'I', 'will come white. shoes, gloves, warsted goodske month', 'I', 'especially those the at/have been warm. me rejain', 'la', 'in the prospect of soon pepping turna firmai Rut', 'ft', 'for more in approaching our resting place-', 'to', 'the field of our future labors.', 'F', 'fo', 'or']"
89,"['1852', 'Feb.24 the Have suffered much to day from head', 'ache', 'caused perhaps by cold, bad state of bowels-', 'want', 'of', 'exercise I reguit the logs of the day-', 'l have so much writing to do. At moon nume', '350 miles from Hony Kong! so near the great', 'empire of China -the field of our future labors.', 'Many unknown trials await me but my Gad', 'will not farsake me. 0 who can appreciate the', 'bleping of a free acceps to a throne of grace. some', 'Fines it almost staggers my belief. Wherefore such', 'favor to sinful man? that Dawest Then in man', 'R', 'O Lound of God that Thou shouldst ranson', 'him?', ':', 'I will forget my newrothing then I will bide', 'behind the crop as I approach boldly the than', '&', 'grace, and claim all things as mine! who shall', ':-', 'of', 'disammed what Pad has said?', '. Feb.25 the Husband vomiting - us. Crocken little sea-sick. -', '4 I am still suffering from headache. Hope to see', '.', 'land tomorrow-not only land but China! put an am', '1 flannel, th angh then. about 70:Sound into port is apt', 'to give cold, and me took this precaution to prevent.', 'Feb.26 the Thurs day. Bun in sight all day of clinese', 'fisting boats- sometimes saw as many as thirty at', 'once. so forry capt. could take no observation. Do heman']"
90,"['anxious to see a large sick which rises from lo', 'the ocean whose latitude & longitude be knew,Not', 'we', 'Beeing this as soon as me hoped me became antins joe', 'about one we saw it and thus learn d a', 'current', 'hat', 'has been setting us back About fine a pilot smade', 'pl', 'a signal capt. ausinessed. len lep than half an ham', 'ten', 'he n as aboard Capt. wanted to know his businpo', 'pan', '""Pilot."" ""No- you no pilot. At this he drew some', 'with', 'papers from his pocket and presented them. this the', 'terms? ""Tenty dollar."" ""No-no. he couldn\'t catch the', 'Po', 'caps. that way- capt. had been to China before.', 'to', 'Then he would get be ek into his boat. Then you', '2.', 'may so- - give five dollars. ""No -thenty doll ar. ""The', 'Tie', ',', 'started off- climbed up an the bulmarks.', 'the', 'in', '0', 'sprany damm ""fifteen dollar"" No. - the captions', 'has', 'a thing or two. Then he called the boat, had it', 'lies', 'along-tide', 'he', 'got', 'out an a beam - -a 20/20 from', 'ha', 'their for topawas thrown him-and - I was', 'Iol', 'watching to see some depthous springing As', 'Ca', 'he he jumpid back into the slipification', 'one', 'dollar!! No. They soon came to thums. Ten', 'Dr.', 'dollars,', 'some', 'tre', 'ad', '&', 'salt', 'heef.', 'The', 'provisions', 'lit', 'were thrown down to the boat and mere som', '&', 'cooking. pilots deep consists of loose Thousan', 'ha']"
91,"['43', ': large enough for there men, made of silkand', '4 marked. stall purplement goods: - and a quilted', 'jacket made of dark blue silk. Neithu shoes non', 'at hat. Head shaved except his queue which is', 'platted and wound several times around the', ',', 'm temples. Not more than five ft. high. His com', 'up panious have hats.', 'Their boat has two masts,', 'u with mat sails and bamboo yard ds. They spread', 'his', 'their mats over for protection at might', 'to', 'poor heathers! when shall know Him, whom', 'ml.', 'to know is life and piace:', 'u', '27th Anchard about eleven in the harbor of', '2', 'Victoria. surrounded by Clinese boats. - some want', 'Tu ing our washing.', 'some to take us ashore. an d somet', 'two having various articles for sale. How I enjoyed the de 4', 'licious oranges and bonanas! About twelve ( the capt.', 'bra', 'having', 'your', 'ashore', 'and informed them) bn bean &', ', Johnson went an board after ms. Jook dinner of', 'AA came ashore about two. The mission houses in', 'Fun one yard. Bro bean an having no family l ats with e.....', 'm', 'Dr.', ""will stay at Dr. Ds. me at Dr. I's. Mrs. I. is a nice"", 'ins little butch moman came out single from the', 'm sutch Reformed Bunch. she is quite interesting', 'is has five chinese children when she is Teaching', '1']"
92,"['Arrived in time to send a letter overland to they', 'inform my parents of our whereabouts.', 'this', '28th ment to am English stone this morning.', 'dou', 'node in a chain carried by two coolies. Felt so', 'let', ""additary goods high. I don't know how is is at ehinese and"", 'shops.', 'Cloomy, rainy day. Been inexpressity', 'sty', 'sad.', 'his', '29th Attended chinese service. Chapter repended', 'in', 'by too bean. of course did a word.', 'not understand', 'other', 'Commund with the church A few women', 'tim', 'present two wives of native ministus -', 'both', 'ma', 'christians, They saming some of their words to', 'Bef', 'Mean. CO how July I give my life to Clinai', 'ea', 'n orta going on To-day as much as any Mr.', 'my', 'me', 'March newt up to Morrison hill to call an Mr.', 'on', 'of the Nyeman- butch reformed missimares.ent', 'her', 'into Morisons old school house splendid view from th', 'the hill. My he act has been oppreped all day.', 'n', 'Capt. Crocker leaves for mhompoo tormarrow a titis', 'Mo', 'We think of going up- but must keep busy in order A', 'to be ready in time There are some impleasant in', 'things about a visit to Canton just now lr. Roberts a go', 'having just been discarded by our board, and C. is', 'li', 'fearful he will learn something-s be questionshand', 'his']"
93,"['1852', 'wa thus involve him in the unpleasant affair. All', 'think it desirable we should visit Cantan, and', 'cigi doubtlep the trip will pay.', 'A call from Uritlanis', 'eth L.S.N. from Aashille-quite a treat to husband', 'him and the Dr. How I long for a female friend who can', 'essay sympathise in my whole heart ths. Croeku is a', 'kind good woman- so is ths. I. but there is mothed', 'count ing in common between me and the one, or the', 'and. other. Husband and the Dr. surely must have a fine', 'un', 'time. suppose is was mean designed thata', ""both man's whole world should be her husband-and cen"", 'st sequently though my husband is as much as one 4', 'in! can be, I need a female friend. O my mother o .', 'Tir, my sister! low I years for are houis weeking s', 'Un on your breast, even the ough not a word could be spadis', 'Must hen. But I have made the sacrifice. he that stick', 'misth eloser than a brother will support me.', 'lag', 'Reed a letter written May 24th / 5th from brusilla', 'alts', 'Marwell. A long time coming. it chaned my heart', 'inth March 2 and "" Came on to the slip before breakfast', 'sant intending to Return to the shore after packing up.o', 'getting off our fright. By this time the wind masa', 'Cis high we thought best for me to remain-the - Dr.&', 'land', 'husband', 'sorry', 'to', 'attend', 'to', 'the storing of their goods.,t']"
